---
source: R[v4.4.3]::data.table[v1.17.0]::fwrite
creation_time_utc: 2025-04-04 18:13:20
schema:
  fields:
  - name: species
    type: character
  - name: posID
    type: numeric
  - name: tag
    type: character
  - name: time
    type: numeric
  - name: datetime
    type: POSIXct
  - name: x
    type: numeric
  - name: 'y'
    type: numeric
  - name: nbs
    type: numeric
  - name: varx
    type: numeric
  - name: vary
    type: numeric
  - name: speed_in
    type: numeric
  - name: speed_out
    type: numeric
  - name: x_raw
    type: numeric
  - name: y_raw
    type: numeric
  - name: n_aggregated
    type: integer
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
species,posID,tag,time,datetime,x,y,nbs,varx,vary,speed_in,speed_out,x_raw,y_raw,n_aggregated
redshank,257.5,3027,1695443640,2023-09-23T04:34:00Z,650759.944373684,5901949.79067008,3,0.348896421400117,0.895322233070562,0.290958685058883,0.301863405321076,650759.681861508,5901950.11889341,18
redshank,276,3027,1695443700,2023-09-23T04:35:00Z,650755.071146077,5901941.56059016,3,0.294901795994872,0.698578888029273,0.206629160123314,0.211394148572931,650755.104395429,5901941.47494313,19
redshank,294.5,3027,1695443760,2023-09-23T04:36:00Z,650752.044718961,5901931.36321041,3.05555555555556,0.39448344854661,1.02264673327222,0.406475458463342,0.419662292090898,650752.063951052,5901932.01599969,18
redshank,313,3027,1695443820,2023-09-23T04:37:00Z,650750.471466626,5901920.83945286,3,0.46473433601559,0.909631717238069,0.273518764075754,0.266779048760875,650750.628035155,5901920.82994977,19
redshank,332,3027,1695443880,2023-09-23T04:38:00Z,650749.087421294,5901913.49212883,3,0.268272469908907,0.618835280146295,0.0994288452355398,0.0746237547342713,650748.672333635,5901914.00634884,19
redshank,351,3027,1695443940,2023-09-23T04:39:00Z,650745.74474791,5901907.08848089,3,0.385331671654022,0.79483022584149,0.326171475659962,0.331678340503301,650746.154657126,5901907.59260958,19
redshank,370.5,3027,1695444000,2023-09-23T04:40:00Z,650747.309761702,5901897.58233605,3.05,0.638538723587991,1.40160612106323,0.198133078792159,0.20562963595911,650747.033858553,5901898.99237493,20
redshank,389,3027,1695444060,2023-09-23T04:41:00Z,650746.783356424,5901891.91867786,3,0.386007154689116,1.33290005802696,0.309017525018014,0.303598984740423,650746.53408162,5901892.25950539,17
redshank,407,3027,1695444120,2023-09-23T04:42:00Z,650743.324936033,5901884.96149447,3,0.297236781701487,0.648722822316135,0.179438686845015,0.178103202122127,650743.15731595,5901884.7667664,19
redshank,425,3027,1695444180,2023-09-23T04:43:00Z,650738.746629168,5901881.17176764,3.05882352941176,0.325866998685685,0.795220756200771,0.319890451658812,0.311827382193605,650738.560358848,5901881.1897205,17
redshank,442.5,3027,1695444240,2023-09-23T04:44:00Z,650733.4650701,5901877.25131935,3.05555555555556,0.307433136819322,0.672169405001181,0.223684555606691,0.224297336648337,650733.308073086,5901878.01967701,18
redshank,461,3027,1695444300,2023-09-23T04:45:00Z,650727.994681418,5901875.50503991,3,0.199222923646013,0.392968349509622,0.120678711658717,0.123166123947085,650727.663397472,5901875.6198287,19
redshank,479.5,3027,1695444360,2023-09-23T04:46:00Z,650730.513258701,5901870.99581173,3,0.321862438210735,0.581417456085299,0.232689953245227,0.244607852604391,650731.378343205,5901870.59275692,18
redshank,498.5,3027,1695444420,2023-09-23T04:47:00Z,650738.90681541,5901867.01858829,3,0.291662059724331,0.481585947275162,0.301319331380986,0.287678677346306,650739.36346818,5901867.01316891,20
redshank,518,3027,1695444480,2023-09-23T04:48:00Z,650744.565830822,5901860.22962107,3,0.307531509372997,0.605258318195713,0.200249135140181,0.215961408659733,650744.365151111,5901859.76953134,19
redshank,537,3027,1695444540,2023-09-23T04:49:00Z,650754.539445654,5901864.96952533,3,0.313804133116704,0.525965904595119,0.308568560292236,0.292856286772685,650754.762221432,5901865.41453706,19
redshank,556,3027,1695444600,2023-09-23T04:50:00Z,650771.272866603,5901866.02127685,3,0.514015501555974,1.51434756646196,0.441605560542727,0.474360910554977,650771.847777094,5901865.42184868,19
redshank,575,3027,1695444660,2023-09-23T04:51:00Z,650784.121219161,5901859.38684376,3,0.354239383893,0.703707101932853,0.337388310431699,0.320937103568397,650784.194202103,5901859.09223194,19
redshank,592.5,3027,1695444720,2023-09-23T04:52:00Z,650792.063073606,5901852.81219368,3,0.436582807451487,0.891864106059075,0.288596593211143,0.323693734364202,650792.105499729,5901853.35727798,16
redshank,610.5,3027,1695444780,2023-09-23T04:53:00Z,650802.181558233,5901850.79779265,3,0.263515801429748,1.21054008901119,0.444677104850197,0.423264867821719,650802.171716832,5901850.61800694,20
