tID,tideID,high_start_time,high_start_type,high_start_level,low_time,low_type,low_level,high_end_time,high_end_type,high_end_level
105,2023105,2023-02-23T22:40:00Z,HH,111,2023-02-24T05:20:00Z,LL,-96,2023-02-24T11:20:00Z,LH,97
106,2023106,2023-02-24T11:20:00Z,LH,97,2023-02-24T17:20:00Z,HL,-77,2023-02-24T23:40:00Z,HH,169
107,2023107,2023-02-24T23:40:00Z,HH,169,2023-02-25T06:20:00Z,HL,-51,2023-02-25T11:30:00Z,HH,95
108,2023108,2023-02-25T11:30:00Z,HH,95,2023-02-25T18:10:00Z,LL,-115,2023-02-25T23:50:00Z,LH,88
109,2023109,2023-02-25T23:50:00Z,LH,88,2023-02-26T06:40:00Z,HL,-108,2023-02-26T12:20:00Z,HH,52
110,2023110,2023-02-26T12:20:00Z,HH,52,2023-02-26T18:50:00Z,LL,-135,2023-02-27T00:40:00Z,HH,65
111,2023111,2023-02-27T00:40:00Z,HH,65,2023-02-27T07:10:00Z,HL,-95,2023-02-27T12:50:00Z,LH,50
112,2023112,2023-02-27T12:50:00Z,LH,50,2023-02-27T19:20:00Z,LL,-122,2023-02-28T01:20:00Z,HH,44
113,2023113,2023-02-28T01:20:00Z,HH,44,2023-02-28T07:40:00Z,HL,-97,2023-02-28T13:50:00Z,LH,39
114,2023114,2023-02-28T13:50:00Z,LH,39,2023-02-28T20:00:00Z,LL,-98,2023-03-01T02:10:00Z,HH,42
115,2023115,2023-03-01T02:10:00Z,HH,42,2023-03-01T08:30:00Z,HL,-77,2023-03-01T14:50:00Z,LH,35
116,2023116,2023-03-01T14:50:00Z,LH,35,2023-03-01T21:20:00Z,LL,-93,2023-03-02T03:40:00Z,LH,24
117,2023117,2023-03-02T03:40:00Z,LH,24,2023-03-02T10:00:00Z,HL,-85,2023-03-02T16:20:00Z,HH,36
118,2023118,2023-03-02T16:20:00Z,HH,36,2023-03-02T23:20:00Z,LL,-103,2023-03-03T05:40:00Z,LH,31
119,2023119,2023-03-03T05:40:00Z,LH,31,2023-03-03T11:50:00Z,HL,-90,2023-03-03T18:00:00Z,HH,60
120,2023120,2023-03-03T18:00:00Z,HH,60,2023-03-04T00:40:00Z,LL,-96,2023-03-04T06:40:00Z,LH,57
121,2023121,2023-03-04T06:40:00Z,LH,57,2023-03-04T12:40:00Z,HL,-82,2023-03-04T18:50:00Z,HH,87
122,2023122,2023-03-04T18:50:00Z,HH,87,2023-03-05T01:30:00Z,LL,-92,2023-03-05T07:20:00Z,LH,64
123,2023123,2023-03-05T07:20:00Z,LH,64,2023-03-05T13:40:00Z,HL,-91,2023-03-05T19:40:00Z,HH,96
124,2023124,2023-03-05T19:40:00Z,HH,96,2023-03-06T02:10:00Z,HL,-94,2023-03-06T08:00:00Z,LH,74
125,2023125,2023-03-06T08:00:00Z,LH,74,2023-03-06T14:10:00Z,LL,-96,2023-03-06T20:30:00Z,HH,112
126,2023126,2023-03-06T20:30:00Z,HH,112,2023-03-07T02:30:00Z,HL,-54,2023-03-07T08:20:00Z,HH,124
127,2023127,2023-03-07T08:20:00Z,HH,124,2023-03-07T14:40:00Z,LL,-73,2023-03-07T20:40:00Z,LH,123
128,2023128,2023-03-07T20:40:00Z,LH,123,2023-03-08T03:20:00Z,HL,-92,2023-03-08T09:00:00Z,LH,78
129,2023129,2023-03-08T09:00:00Z,LH,78,2023-03-08T15:20:00Z,LL,-110,2023-03-08T21:20:00Z,HH,109
130,2023130,2023-03-08T21:20:00Z,HH,109,2023-03-09T03:40:00Z,HL,-95,2023-03-09T09:40:00Z,HH,99
131,2023131,2023-03-09T09:40:00Z,HH,99,2023-03-09T16:00:00Z,LL,-99,2023-03-09T21:40:00Z,LH,99
132,2023132,2023-03-09T21:40:00Z,LH,99,2023-03-10T04:20:00Z,LL,-112,2023-03-10T10:00:00Z,LH,82
133,2023133,2023-03-10T10:00:00Z,LH,82,2023-03-10T16:10:00Z,HL,-84,2023-03-10T22:20:00Z,HH,136
134,2023134,2023-03-10T22:20:00Z,HH,136,2023-03-11T04:50:00Z,HL,-88,2023-03-11T10:30:00Z,LH,84
135,2023135,2023-03-11T10:30:00Z,LH,84,2023-03-11T16:50:00Z,LL,-105,2023-03-11T22:40:00Z,HH,101
136,2023136,2023-03-11T22:40:00Z,HH,101,2023-03-12T05:20:00Z,LL,-110,2023-03-12T11:30:00Z,LH,70
137,2023137,2023-03-12T11:30:00Z,LH,70,2023-03-12T17:20:00Z,HL,-108,2023-03-12T23:20:00Z,HH,106
138,2023138,2023-03-12T23:20:00Z,HH,106,2023-03-13T05:10:00Z,LL,-64,2023-03-13T11:40:00Z,HH,128
139,2023139,2023-03-13T11:40:00Z,HH,128,2023-03-13T17:30:00Z,HL,-42,2023-03-13T23:50:00Z,LH,123
140,2023140,2023-03-13T23:50:00Z,LH,123,2023-03-14T06:10:00Z,LL,-28,2023-03-14T12:00:00Z,HH,152
141,2023141,2023-03-14T12:00:00Z,HH,152,2023-03-14T18:30:00Z,HL,-25,2023-03-15T00:20:00Z,HH,122
142,2023142,2023-03-15T00:20:00Z,HH,122,2023-03-15T06:40:00Z,HL,-59,2023-03-15T12:40:00Z,LH,88
143,2023143,2023-03-15T12:40:00Z,LH,88,2023-03-15T19:30:00Z,LL,-86,2023-03-16T01:20:00Z,HH,60
144,2023144,2023-03-16T01:20:00Z,HH,60,2023-03-16T07:30:00Z,HL,-86,2023-03-16T14:00:00Z,LH,44
145,2023145,2023-03-16T14:00:00Z,LH,44,2023-03-16T20:20:00Z,LL,-94,2023-03-17T03:00:00Z,LH,67
146,2023146,2023-03-17T03:00:00Z,LH,67,2023-03-17T08:50:00Z,HL,-37,2023-03-17T15:10:00Z,HH,97
147,2023147,2023-03-17T15:10:00Z,HH,97,2023-03-17T22:10:00Z,LL,-76,2023-03-18T04:40:00Z,LH,75
148,2023148,2023-03-18T04:40:00Z,LH,75,2023-03-18T11:00:00Z,HL,-66,2023-03-18T17:20:00Z,HH,86
149,2023149,2023-03-18T17:20:00Z,HH,86,2023-03-19T00:00:00Z,LL,-107,2023-03-19T06:20:00Z,LH,71
150,2023150,2023-03-19T06:20:00Z,LH,71,2023-03-19T12:30:00Z,HL,-85,2023-03-19T18:30:00Z,HH,107
151,2023151,2023-03-19T18:30:00Z,HH,107,2023-03-20T01:10:00Z,LL,-108,2023-03-20T07:10:00Z,LH,73
152,2023152,2023-03-20T07:10:00Z,LH,73,2023-03-20T13:20:00Z,HL,-99,2023-03-20T19:40:00Z,HH,110
153,2023153,2023-03-20T19:40:00Z,HH,110,2023-03-21T02:10:00Z,LL,-118,2023-03-21T08:10:00Z,LH,71
154,2023154,2023-03-21T08:10:00Z,LH,71,2023-03-21T14:20:00Z,HL,-117,2023-03-21T20:30:00Z,HH,115
155,2023155,2023-03-21T20:30:00Z,HH,115,2023-03-22T03:00:00Z,LL,-108,2023-03-22T09:00:00Z,LH,90
156,2023156,2023-03-22T09:00:00Z,LH,90,2023-03-22T15:00:00Z,HL,-102,2023-03-22T21:10:00Z,HH,127
157,2023157,2023-03-22T21:10:00Z,HH,127,2023-03-23T03:20:00Z,LL,-91,2023-03-23T09:40:00Z,LH,123
158,2023158,2023-03-23T09:40:00Z,LH,123,2023-03-23T15:40:00Z,HL,-82,2023-03-23T21:40:00Z,HH,140
159,2023159,2023-03-23T21:40:00Z,HH,140,2023-03-24T04:00:00Z,HL,-78,2023-03-24T10:10:00Z,LH,115
160,2023160,2023-03-24T10:10:00Z,LH,115,2023-03-24T16:20:00Z,LL,-93,2023-03-24T22:20:00Z,HH,143
161,2023161,2023-03-24T22:20:00Z,HH,143,2023-03-25T04:30:00Z,HL,-59,2023-03-25T11:00:00Z,LH,131
162,2023162,2023-03-25T11:00:00Z,LH,131,2023-03-25T16:50:00Z,LL,-66,2023-03-25T22:50:00Z,HH,142
